Date,MSFT,AMZN,JNJ,JPM,XOM,BAC,WMT,WFC,V,PG,BUD,T,CVX,UNH,PFE,RHHBY,CHL,HD,TSM,VZ,ORCL,C,NVDA,NVS,AAPL,INTC,NFLX,SONC,MO,GOOGL
10/14/10,-0.004340997,0.002320043,0.002516738,-0.028112044,0.003997633,-0.051918666,-0.010590763,-0.042231699,0.002988905,0.002714384,-0.005023527,0.001054072,0.002748875,0.013023714,-0.003948106,0.008876506,0.003378319,-0.00612895,-0.005752803,0.007140836,-0.009440552,-0.044705964,-0.015872713,-0.002691269,0.007230048,0.004157828,-0.011836252,-0.004301321,0.007310883,-0.004362237
10/15/10,0.012287253,0.058573909,-0.002667242,-0.04054782,-0.001684708,-0.049206392,0.001877867,-0.046116761,0.005572007,-0.000637073,-0.010413372,-0.005965123,-0.003456573,0.005590336,0.005096323,0.016772282,0.003927992,-0.003570237,-0.002892794,-0.000308361,0.020119932,-0.027093288,0.011648482,-0.004553943,0.041116432,0,0.019243357,-0.001079565,0.003225861,0.111881357
10/18/10,0.010963182,-0.006559773,0.004561777,0.028264247,0.016720489,0.030049881,0.007685202,0.054707817,0.009794203,0.009400952,-0.004942502,0.01023664,0.010405588,0.007504033,0.002816604,0.014602263,0.000745422,-0.005537467,-0.003868458,0.00493387,0.011418855,0.055696059,0.006200245,0.012707634,0.010358073,-0.00672884,-0.01746723,0.045405416,0.000803974,0.027034615
10/19/10,-0.027885621,-0.029897286,-0.008925817,-0.013351233,-0.017501499,-0.043759975,-0.008184731,-0.012867189,-0.01033684,-0.00268376,-0.01650362,-0.014325713,-0.02000482,-0.026207048,-0.023033579,-0.012526572,-0.006702545,-0.003930521,-0.009708766,-0.013194272,-0.003421346,-0.026379073,-0.006162039,-0.016061498,-0.026761117,0.001042521,-0.023986941,-0.041365275,-0.006024147,-0.015994564
10/20/10,0.0083666,0,0.004898138,0.010878389,0.013667073,-0.004237288,0.002813483,0.04276979,0.025402713,0.010715022,0.013522264,0.014179218,0.014856404,0.040509968,0.015526271,0.006747643,-0.001499609,0.010522803,0.012744957,0.014925061,-0.01682124,0.012315282,0,0.011732456,0.003360308,0.022383962,0.025580915,-0.022653674,0.006868561,0.000246773
10/21/10,0.004345947,0.039705068,0.006131884,-0.010498429,0.00469625,-0.033191597,0.010472922,0.016797364,-0.004024059,0.002209076,0.024594165,-0.009437341,0.002737507,-0.006533869,-0.001698851,-0.008042836,-0.015393413,0.035144894,0.007744659,-0.003676239,0.006284912,-0.009731979,-0.017714698,-0.008739473,-0.003252344,0.006110086,0.127587355,0.016556341,0.001204084,0.006595651
10/22/10,-0.00157348,0.02521673,-0.002812872,0,0.000301314,0.007042197,0.000555443,0.003073002,0.001136463,-0.001731657,0.000156885,-0.001763982,0.003560938,0.021101054,-0.007373907,-0.013513604,-0.007244967,-0.010374116,0.018251708,-0.013222764,0.005898891,0.009827621,0.064021554,-0.014581031,-0.006623242,0.004048609,-0.026579408,0.017372237,-0.001202636,0.000882347
10/25/10,-0.007486172,-0.000768669,0.002664538,-0.016710939,-0.002110591,-0.02447547,-0.002034828,-0.014936542,0.016899588,0.00220803,0.002039182,0.002474393,0.003785084,0.008051782,0.006857379,0.012328843,-0.000768224,-0.002541245,0.007547265,0.008101943,-0.005174066,0.024330973,0.009322136,0.003957156,0.004455768,0.001511959,-0.007495538,-0.009604921,0.005618088,0.006481355
10/26/10,0.02818552,0.005621284,-0.002188295,0.003506821,0.00498522,0.012544919,0.011306802,0.007387174,-0.007441404,-0.010701805,-0.018159249,-0.001763223,0.003298795,0.000265831,-0.007378168,-0.018944598,-0.001345282,-0.003503076,-0.005618261,0.004636943,-0.007281674,-0.007125686,-0.003358468,-0.010454051,-0.002557714,0.008555684,0.064612844,-0.002155413,0.005586412,0.003406342
10/27/10,0.005791505,-0.014357176,-0.004229351,0.009139716,-0.012926247,0.021238955,-0.012646858,-0.006175189,-0.001374467,0.003499928,-0.023596721,0.001412778,-0.009864689,-0.043651371,-0.012006849,0.012689568,-0.013471906,-0.012463949,0.002825063,0.000307837,0.002445145,-0.002392452,0.014321791,-0.002771042,-0.000714083,0.007484933,0.004954346,-0.021598106,-0.00357131,-0.003443272
